driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,id
addlink S70 M.2 G3x4 1TB,SSD,953.9,21359,373,9990.4,171.04,0.13,2019,67
Samsung PM981 2TB NVMe,SSD,1900.0,21246,380,39999.2,42.49,0.26,2018,68
MSI M370 1TB,SSD,953.9,21245,381,11582.4,146.74,0.15,2021,69
HP SSD EX950 2TB,SSD,1800.0,21148,383,19999.2,84.6,0.14,2019,70
WDC WDS200T2B0C,SSD,1800.0,21127,386,17999.2,93.9,0.12,2021,71
NVMe Micron 2300 NVMe,SSD,953.9,20718,400,17440.0,95.04,0.23,2020,72
NVMe PC SN730 NVMe WDC 512GB,SSD,476.9,20603,402,7320.0,225.17,0.19,2021,73
Samsung PM981 1TB NVMe,SSD,953.9,20536,403,19199.2,85.57,0.25,2017,74
WD Black NVMe 500GB,SSD,465.8,20495,404,7894.4,207.69,0.21,2018,75
KXG6AZNV1T02 TOSHIBA,SSD,953.9,20443,406,11999.2,136.3,0.16,2019,76
Corsair Force MP510 960GB,SSD,894.3,20421,407,11199.2,145.87,0.16,2018,77
NVMe Sabrent,SSD,1900.0,20355,412,14000.0,116.31,0.09,2019,78
MKNSSDPE2TB-D8,SSD,1800.0,20325,414,15199.2,106.98,0.11,2019,79
NVMe PCIe SSD,SSD,1800.0,20297,417,12399.2,130.96,0.09,2020,80
SanDisk Extreme Pro 500GB,SSD,465.8,19978,429,15359.2,104.06,0.41,2018,81
WDC WDS960G2G0C,SSD,894.3,19977,430,5999.2,266.4,0.08,2021,82
Viper M.2 VPR100,SSD,476.9,19805,439,11744.0,134.91,0.31,2020,83
Samsung SSD 970 EVO 500GB,SSD,465.8,19562,451,9599.2,163.03,0.26,2018,84
MKNSSDPE1TB-D8,SSD,931.5,19388,455,7999.2,193.9,0.11,2019,85
HP SSD EX950 1TB,SSD,953.9,19295,462,11919.2,129.5,0.16,2019,86
XPG GAMMIX S11 Pro,SSD,953.9,19250,467,11446.4,134.54,0.15,2019,87
Samsung SM961 1TB NVMe,SSD,953.9,19105,478,15920.0,96.0,0.21,2016,88
Seagate BarraCuda 510 SSD ZP500CM30001,SSD,465.8,19007,487,17520.0,86.79,0.47,2020,89
Micron 2300 NVMe 256GB,SSD,238.5,18895,495,2396.0,630.89,0.13,2020,90
Samsung SSD 960 PRO 512GB,SSD,476.9,18859,499,19199.2,78.58,0.5,2016,91
HP SSD EX920 1TB,SSD,953.9,18833,501,9599.2,156.95,0.13,2018,92
Samsung SSD 970 EVO Plus 250GB,SSD,232.9,18754,502,5599.2,267.96,0.3,2019,93
CT250P5SSD8,SSD,232.9,18724,507,5259.2,284.82,0.28,2020,94
Samsung SSD 960 PRO 1TB,SSD,953.9,18647,514,9599.2,155.41,0.13,2016,95
Samsung SSD 960 PRO 2TB,SSD,1900.0,18631,517,100000.0,14.9,0.66,2017,96
PNY CS2130 1TB SSD,SSD,931.5,18591,520,12479.2,119.18,0.17,2020,97
TOSHIBA XG6 SSD 512GB M.2 NVMe,SSD,476.9,18473,525,9200.0,160.63,0.24,2018,98
Samsung SM961 512GB NVMe,SSD,476.9,18448,526,15999.2,92.25,0.42,2016,99
SAMSUNG MZ1LB960HAJQ-00007,SSD,894.3,18400,530,22640.0,65.02,0.32,2021,100
KXG60ZNV1T02 TOSHIBA,SSD,953.9,18340,535,17680.0,82.99,0.23,2019,101
Intel SSD 760P 1TB,SSD,953.9,18331,536,18399.2,79.7,0.24,2018,102
Samsung PM981 512GB NVMe,SSD,476.9,18246,549,11439.2,127.6,0.3,2017,103
Gigabyte AORUS RGB M.2 NVMe 512GB,SSD,476.9,18246,550,7436.8,196.27,0.19,2019,104
Toshiba XG5-P NVMe 2TB,SSD,1900.0,18218,556,24399.2,59.73,0.16,2018,105
WD Blue SN550 NVMe SSD 1TB,SSD,931.5,18191,561,8180.0,177.9,0.11,2019,106
PNY CS3030 500GB SSD,SSD,465.8,18020,574,6080.0,237.11,0.16,2019,107
Viper M.2 VPN100 512GB,SSD,476.9,17980,576,8800.0,163.45,0.23,2019,108
HP SSD EX950 512GB,SSD,476.9,17954,578,7280.0,197.29,0.19,2019,109
Intel SSD 760P 2TB,SSD,1900.0,17949,579,55999.2,25.64,0.37,2018,110
PLEXTOR PX-1TM9PeGN,SSD,953.9,17715,592,19102.4,74.19,0.25,2018,111
Samsung SSD 960 EVO 1TB,SSD,931.5,17684,594,14177.6,99.78,0.19,2016,112
Mushkin Pilot 1TB MKNSSDPL1TB-D8,SSD,931.5,17646,596,13999.2,100.84,0.19,2018,113
WDC PC SN530 SDBPTPZ-1T00,SSD,953.9,17625,598,31894.4,44.21,0.42,2021,114
ADATA FALCON,SSD,953.9,17620,599,7599.2,185.49,0.1,2020,115
GIGABYTE GP-GSM2NE3512GNTD,SSD,476.9,17551,606,5288.0,265.53,0.14,2019,116
Micron MTFDHBA512TCK,SSD,476.9,17451,616,11599.2,120.36,0.3,2019,117
KXG60ZNV512G TOSHIBA,SSD,476.9,17431,617,13846.4,100.71,0.36,2019,118
WDC WDS480G2G0C,SSD,447.1,17415,618,3531.2,394.54,0.1,2021,119
NVMe Sabrent Rocket Q,SSD,931.5,17160,638,7200.0,190.67,0.1,2020,120
GIGABYTE GP-GSM2NE3100TNTD,SSD,953.9,17072,642,9851.2,138.64,0.13,2019,121
Micron MTFDHBA1T0TCK,SSD,953.9,17028,647,24504.0,55.59,0.32,2019,122
INTEL SSDPEKNW020T9,SSD,1900.0,17002,649,19199.2,70.85,0.13,2020,123
Samsung SM961 256GB NVMe,SSD,238.5,16878,657,7839.2,172.25,0.41,2016,124
HP SSD EX920 512GB,SSD,476.9,16869,658,5759.2,234.32,0.15,2018,125
NVMe PNY CS3030 500GB,SSD,465.8,16814,662,8799.2,152.87,0.24,2019,126
Samsung PM961 1TB NVMe,SSD,953.9,16813,663,21199.2,63.45,0.28,2016,127
WDC WDS500G2B0C,SSD,465.8,16811,664,5429.6,247.69,0.15,2020,128
Toshiba XG5 SSD 1TB,SSD,953.9,16795,667,19120.0,70.27,0.25,2017,129
XPG SPECTRIX S20G,SSD,465.8,16622,679,4799.2,277.09,0.13,2021,130
Corsair Force MP510 480GB,SSD,447.1,16606,681,7320.8,181.46,0.2,2018,131
Samsung PM961 512GB NVMe,SSD,476.9,16542,685,14399.2,91.91,0.38,2017,132
WD Blue SN550 NVMe SSD 500GB,SSD,465.8,16410,694,5488.8,239.17,0.15,2020,133
PLEXTOR PX-512M9PeG,SSD,476.9,16314,703,15119.2,86.32,0.4,2018,134
PLEXTOR PX-512M9PeGN,SSD,476.9,16246,706,10639.2,122.16,0.28,2018,135
CT2000P2SSD8,SSD,1800.0,16240,707,18869.6,68.85,0.13,2020,136
Samsung SSD 960 EVO 500GB,SSD,465.8,16150,713,19199.2,67.3,0.52,2016,137
CT2000P1SSD8,SSD,1800.0,16138,716,17999.2,71.73,0.12,2020,138
Intel SSD 760p 512GB,SSD,476.9,16017,725,9240.0,138.67,0.24,2018,139
INTEL SSDPEKNW010T9,SSD,953.9,15988,729,9600.0,133.23,0.13,2020,140
PC SN530 NVMe WDC 1024GB,SSD,953.9,15719,745,31108.8,40.42,0.41,2021,141
Lexar 1TB SSD,SSD,931.5,15598,752,9039.2,138.05,0.12,2019,142
CT1000P2SSD8,SSD,931.5,15592,753,7716.0,161.66,0.1,2020,143
