id,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category,brnd
70,Intel Xeon W-1290 @ 3.20GHz,49520.0,20533,33.17,3093,5.0,80.0,10,LGA 1200,Server,Intel
71,Intel Core i9-10900 @ 2.80GHz,31197.6,20446,52.43,3057,7.84,65.0,10,LGA 1200,Desktop,Intel
72,Intel Core i9-11900T @ 1.50GHz,35120.0,20225,46.07,3419,7.79,35.0,8,LGA 1200,Desktop,Intel
73,AMD Ryzen 7 4700G,25520.0,20138,63.13,2758,8.65,65.0,8,AM4,Desktop,AMD
74,AMD Ryzen 5 5500,12720.0,19949,125.46,3096,19.47,65.0,6,AM4,Desktop,AMD
75,Intel Xeon W-1350P @ 4.00GHz,26079.2,19935,61.15,3512,10.77,65.0,6,LGA 1200,Server,Intel
76,AMD Ryzen 5 5600G,14397.6,19830,110.19,3187,17.71,65.0,6,AM4,Desktop,AMD
77,Intel Core i5-11600K @ 3.90GHz,16799.2,19781,94.2,3374,16.07,125.0,6,LGA 1200,Desktop,Intel
78,Intel Core i5-11600KF @ 3.90GHz,18599.2,19742,84.91,3359,14.45,125.0,6,LGA 1200,Desktop,Intel
79,Intel Core i5-12400F,13998.4,19659,112.35,3567,20.39,65.0,6,LGA 1700,Desktop,Intel
80,Intel Xeon W-2245 @ 3.90GHz,79992.0,19446,19.45,2763,2.76,155.0,8,LGA 2066,Server,Intel
81,Intel Core i7-10700K @ 3.80GHz,26318.4,19277,58.6,3074,9.34,125.0,8,LGA 1200,Desktop,Intel
82,Intel Xeon W-1270P @ 3.80GHz,34240.0,19245,44.96,3074,7.18,95.0,8,LGA 1200,Server,Intel
83,Intel Core i7-10700KF @ 3.80GHz,24799.2,19143,61.75,3056,9.86,125.0,8,LGA 1200,Desktop,Intel
84,Intel Xeon W-1350 @ 3.30GHz,22399.2,18940,67.65,3511,12.54,80.0,6,LGA 1200,Server,Intel
85,AMD Ryzen 5 3600XT,26201.6,18780,57.34,2794,8.53,95.0,6,AM4,Desktop,AMD
86,Intel Xeon E-2356G @ 3.20GHz,26640.0,18757,56.33,3507,10.53,80.0,6,LGA 1200,Server,Intel
