id,name,count,capacity,freq,timings,formFactor,type,price,link,value
83,Kingston Fury Renegade RGB KF436C16RBAK2/16 ,2,8,3600,16-20-20,"DIMM, 288-pin",DDR4,5790,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-kingston-kf436c16rbak2-16-rtl-cl16-dimm-288-1560211/,0.6231433506044904
84,NETAC Basic NTBSD4P26SP-08 ,1,8,2666,19-19-19-43,"DIMM, 288-pin",DDR4,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-netac-ntbsd4p26sp-08-basic-rtl-cl19-dimm-288-p-1740124/,1.7946308724832214
85,AMD Radeon R7 Performance Series R7416G2606S2S-U ,1,16,2666,16-18-18-35,"SO-DIMM, 260-pin",DDR4,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-amd-r7416g2606s2s-u-rtl-pc4-21300-cl16-so-dim-1517486/,0.8969899665551839
86,Kingston Fury Beast Black RGB KF432C16BBAK2/16 ,2,8,3200,16-18-18,"DIMM, 288-pin",DDR4,4790,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432c16bbak2-16-fury-beast-black-r-1790366/,0.6697286012526096
87,Patriot Viper Elite II PVE248G320C8 ,1,8,3200,18-22-22-42,"DIMM, 288-pin",DDR4,1790,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-patriot-pve248g320c8-rtl-pc4-25600-cl18-dimm-2-1554989/,1.7921787709497206
88,Patriot Viper EliteII PVE248G266C6 ,1,8,2666,16-17-17-36,"DIMM, 288-pin",DDR4,1690,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-patriot-pve248g266c6-viper-eliteii-rtl-pc4-213-1616711/,1.5822485207100592
89,Kingston Fury Beast Black KF432C16BB/32 ,1,32,3200,16-20-20,"DIMM, 288-pin",DDR4,7190,https://www.citilink.ru/product/pamyat-ddr4-32gb-3200mhz-kingston-kf432c16bb-32-rtl-pc4-25600-cl16-dim-1560896/,0.4495132127955494
90,Kingston Fury Beast KF560C40BBK2-32 ,2,16,6000,40-40-40,"DIMM, 288-pin",DDR5,13890,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-6000mhz-kingston-kf560c40bbk2-32-fury-beast-rtl-cl4-1676551/,0.433117350611951
91,AMD Radeon R7 Performance Series R748G2400U2S-UO ,1,8,2400,16-16-16-36,"DIMM, 288-pin",DDR4,1490,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2400u2s-uo-ddr4-8g-1007258/,1.6161073825503354
92,Patriot Viper Steel PVS416G300C6K ,2,8,3000,16-18-18-36,"DIMM, 288-pin",DDR4,3990,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g300c6k-ddr4-2x-8gb-3000-dimm-1118311/,0.7538847117794486
93,Kingston Fury Beast KF548C38BBK2-32 ,2,16,4800,38-38-38,"DIMM, 288-pin",DDR5,11490,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-4800mhz-kingston-kf548c38bbk2-32-fury-beast-rtl-pc5-1628860/,0.4191470844212358
94,AMD Radeon R7 Performance Series R744G2400S1S-U ,1,4,2400,16-16-16-36,"SO-DIMM, 260-pin",DDR4,890,https://www.citilink.ru/product/pamyat-ddr4-4gb-2400mhz-amd-r744g2400s1s-u-radeon-r7-performance-serie-1795561/,2.701123595505618
95,AMD Radeon R7 Performance Series R748G2400U2S-U ,1,8,2400,16-16-16-36,"DIMM, 288-pin",DDR4,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2400mhz-amd-r748g2400u2s-u-radeon-r7-performance-serie-1667203/,1.6161073825503354
96,Kingston Fury Beast KF548C38BB-16 ,1,16,4800,38-38-38,"DIMM, 288-pin",DDR5,5990,https://www.citilink.ru/product/pamyat-ddr5-16gb-4800mhz-kingston-kf548c38bb-16-fury-beast-rtl-pc5-384-1628859/,0.8040066777963272
97,Patriot Viper 3 PV316G160C9K ,2,8,1600,9-9-9-24,"DIMM, 240-pin",DDR3,3790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv316g160c9k-ddr3-2x-8gb-1600-dimm-ret-498702/,0.4242744063324538
98,Patriot Viper Steel PVS48G320C6 ,1,8,3200,16-20-20-40,"DIMM, 288-pin",DDR4,1890,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs48g320c6-ddr4-8gb-3200-dimm-ret-1172741/,1.6973544973544972
99,Kingston VALUERAM KVR26N19S8/16 ,1,16,2666,19-19-19,"DIMM, 288-pin",DDR4,3690,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kvr26n19s8-16-rtl-pc4-21300-cl19-dim-1430186/,0.7268292682926829
100,AMD Radeon R7 Performance Series R744G2133U1S-U ,1,4,2133,15-15-15-35,"DIMM, 288-pin",DDR4,790,https://www.citilink.ru/product/pamyat-ddr4-4gb-2133mhz-amd-r744g2133u1s-u-radeon-r7-performance-serie-1795558/,2.7050632911392407
101,AMD Radeon R7 Performance Series R744G2606U1S-U ,1,4,2666,16-18-18-35,"DIMM, 288-pin",DDR4,890,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r744g2606u1s-uo-ddr4-4g-333704/,3.0
